Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_hour,Arrival_min,Departure_hour,Departure_min,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
170,0,no_info,3897,24,3,2019,1,10,22,20,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
445,2,no_info,7662,1,5,2019,13,15,5,50,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1140,2,no_info,13882,9,6,2019,4,25,9,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
325,1,no_info,6218,12,5,2019,23,30,18,5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
285,1,no_info,13302,1,3,2019,21,35,16,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
145,0,no_info,3873,24,6,2019,11,25,9,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
930,1,other,11087,12,3,2019,10,25,18,55,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1265,1,no_info,22270,1,3,2019,5,5,8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1530,1,other,11087,12,3,2019,10,25,8,55,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
470,1,no_info,8625,27,5,2019,19,15,11,25,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
795,1,no_info,8907,1,6,2019,23,0,9,45,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
155,0,no_info,4174,18,4,2019,22,55,20,20,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
135,0,no_info,4667,24,6,2019,13,55,11,40,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
730,1,other,9663,9,5,2019,9,20,21,10,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
155,0,no_info,4804,24,4,2019,19,50,17,15,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
